"signature_date";"system_object_id";"global_id";"ID";"AdmArea";"District";"EDU_NAME";"OGRN";"PASSED_NUMBER_FULL";"PASSES_OVER_220";"PASSER_UNDER_160";"YEAR";"LINK";
"31.10.2016 09:24:50";"1808";"4697961";"1808";"Восточный административный округ";"район Ивановское";"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1504»";"1107746022559";"116";"28";"77";"2015-2016";"{global_id=13793712, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1504»}";
"31.10.2016 09:17:46";"2391";"4697962";"2391";"Восточный административный округ";"район Богородское";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»";"1037700246946";"54";"2";"17";"2015-2016";"{global_id=13793687, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»}";
"31.10.2016 09:34:57";"2248";"4697964";"2248";"Южный административный округ";"район Орехово-Борисово Южное";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1207»";"1027700356155";"124";"35";"53";"2015-2016";"{global_id=62782434, value=null}";
"31.10.2016 09:22:46";"2459";"4697965";"2459";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1793 «Жулебино»";"1137746956555";"68";"32";"55";"2015-2016";"{global_id=62782460, value=null}";
"31.10.2016 09:08:40";"2003";"4697966";"2003";"Западный административный округ";"район Тропарёво-Никулино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1317»";"5137746208507";"47";"28";"43";"2015-2016";"{global_id=20974887, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1317»}";
"31.10.2016 09:36:27";"1999";"4697967";"1999";"Северо-Восточный административный округ";"район Северный";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2044»";"5087746613862";"47";"6";"15";"2015-2016";"{global_id=62782423, value=null}";
"31.10.2016 09:12:20";"3926";"4697968";"3926";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный образовательный комплекс»";"1037739711460";"289";"7";"27";"2015-2016";"{global_id=14235618, value=Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный образовательный комплекс»}";
"31.10.2016 09:10:25";"4037";"4697969";"4037";"Восточный административный округ";"район Восточный";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 448»";"1037739060358";"44";"2";"12";"2015-2016";"{global_id=62782447, value=null}";
"31.10.2016 09:22:41";"3368";"4697970";"3368";"Центральный административный округ";"район Замоскворечье";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 627 имени генерала Д.Д. Лелюшенко»";"1127747118003";"171";"74";"124";"2015-2016";"{global_id=59480353, value=null}";
"31.10.2016 09:17:44";"3363";"4697971";"3363";"Восточный административный округ";"район Новогиреево";"Государственное бюджетное образовательное учреждение города Москвы «Гимназия № 2072»";"1137746883097";"74";"23";"47";"2015-2016";"{global_id=4478932, value=Государственное бюджетное образовательное учреждение города Москвы гимназия № 2072}";
"31.10.2016 09:33:53";"3812";"4697972";"3812";"Южный административный округ";"район Бирюлёво Западное";"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667";"1137746730285";"101";"8";"34";"2015-2016";"{global_id=4479297, value=Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667}";
"31.10.2016 09:20:53";"5469";"4697974";"5469";"Юго-Западный административный округ";"Обручевский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»";"1037728026269";"130";"18";"51";"2015-2016";"{global_id=4479248, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»}";
"31.10.2016 09:22:26";"5479";"4697975";"5479";"Юго-Восточный административный округ";"район Марьино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2110 «Многопрофильный образовательный комплекс «Марьино»";"1147746962285";"151";"8";"39";"2015-2016";"{global_id=4479463, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2110 «Многопрофильный образовательный комплекс «Марьино»}";
"31.10.2016 09:25:21";"5433";"4697977";"5433";"Западный административный округ";"район Проспект Вернадского";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 324 «Жар-птица»";"5147746212500";"79";"16";"35";"2015-2016";"{global_id=13793674, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 324 «Жар-птица»}";
"31.10.2016 09:20:32";"5415";"4697978";"5415";"Северный административный округ";"Тимирязевский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»";"1147746016230";"152";"37";"83";"2015-2016";"{global_id=4478705, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Центр образования Тимирязевский»}";
"31.10.2016 09:34:58";"5547";"4697979";"5547";"Юго-Западный административный округ";"район Зюзино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»";"1157746021927";"35";"3";"25";"2015-2016";"{global_id=4478775, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»}";
"31.10.2016 09:15:23";"5418";"4697980";"5418";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 830»";"1127747247100";"45";"5";"26";"2015-2016";"{global_id=4479296, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 830»}";
"31.10.2016 09:27:20";"5403";"4697981";"5403";"Северо-Восточный административный округ";"район Лианозово";"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1573»";"5067746662968";"162";"39";"66";"2015-2016";"{global_id=13793702, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1573»}";
"31.10.2016 09:29:21";"5402";"4697982";"5402";"Восточный административный округ";"район Новокосино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»";"1037739276684";"126";"25";"51";"2015-2016";"{global_id=13793711, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»}";
